Groupes;description
Commercial;groupe de Commercial
Comptabilite;groupe de Comptabilit‚
Informatique;groupe de Informatique
L_Commercial;groupe de L_Commercial
L_Comptabilite;groupe de L_Comptabilite
L_Informatique;groupe de L_Informatique
L_Commercial_R;groupe de L_Commercial_R
L_Comptabilite_R;groupe de L_Comptabilite_R
L_Informatique_R;groupe de L_Informatique_R
L_Commercial_W;groupe de L_Commercial_W
L_Comptabilite_W;groupe de L_Comptabilite_W
L_Informatique_W;groupe de L_Informatique_W
L_Commercial_X;groupe de L_Commercial_X
L_Comptabilite_X;groupe de L_Comptabilite_X
L_Informatique_X;groupe de L_Informatique_X
L_Commercial_CT;groupe de L_Commercial_CT
L_Comptabilite_CT;groupe de L_Comptabilite_CT
L_Informatique_CT;groupe de L_Informatique_CT
